index	name	party	state	Foreign	Education	Individual property	Financial	Military	Law	Health service	Health expenses	Funds	Public transportation
1120	Gingrey	R	GA	5.043352	-0.581427	5.391209	1.610912	0.047809	2.906115	1.625853	4.846600	4.232492	2.852017
1121	Gordon	D	TN	-4.224461	0.685695	-1.970993	-1.775018	0.066567	-3.06353	-0.955563	-3.102415	-2.630578	0.007291
1122	Grayson	D	FL	-3.907322	-1.114223	-2.490078	-4.413272	-0.960145	-2.213513	-1.241079	-3.400736	-0.879847	2.095207
1123	Griffith	D	AL	-0.810817	-0.129843	-0.562835	0.493366	-1.213293	-0.334807	-2.816514	-0.531170	-1.250568	2.823947
1124	Guthrie	R	KY	3.796727	3.861479	2.951978	3.545753	1.827215	0.899307	-0.498448	4.116172	2.101676	3.003258
1125	Halvorson	D	IL	-1.706559	0.268251	-1.237556	-0.39845	-0.030596	-1.607622	-0.363157	-2.193515	-2.290219	-1.514461
1126	Harper	R	MS	5.557711	2.719242	3.724313	3.886095	2.40259	2.603318	2.510693	4.531256	1.758701	1.027443
1127	Heinrich	D	NM	-3.249545	0.447351	-4.082758	-2.594052	0.023403	-2.418764	1.983968	-3.305458	-1.069652	-1.567696
1128	Himes	D	CT	-2.034777	0.310399	-3.278696	-1.245068	1.519162	-3.174794	-0.058688	-2.388884	-2.2902	-2.880165
1129	Jenkins	R	KS	4.939391	1.569589	3.660383	2.741094	1.42449	1.060928	0.564774	4.624770	1.416029	0.633687
1130	Jordan	R	OH	7.293217	1.228639	4.977328	0.831814	-1.881362	3.940425	4.814915	7.379597	5.480999	-0.360736
1131	Kilroy	D	OH	-5.625113	-2.579096	-1.372236	0.360701	0.939958	-3.657044	-0.018243	-3.301061	-2.330866	-0.432814
1132	Kirkpatrick	D	AZ	-0.995135	0.683945	-0.91432	-0.517324	-1.274837	-0.615514	-2.466433	-0.755519	-0.388275	-0.462530
1133	Kissell	D	NC	-1.075176	1.746026	-1.231176	-2.664476	2.634194	-3.509551	-1.243807	-1.349359	-0.290829	2.551690
1134	Kosmas	D	FL	-2.174878	3.269273	-1.513491	1.117075	2.819114	-1.423011	-0.473169	-1.774949	-2.82473	-0.496131
1135	Kratovil	D	MD	-0.639469	-0.825532	-0.492579	1.847062	0.638869	-0.811862	2.095893	-0.467185	-1.132641	1.122581
1136	Lance	R	NJ	1.854671	1.850943	2.66476	2.775574	3.488122	0.491308	1.90171	2.443437	1.092624	-1.980488
1137	Lee	D	CA	-5.710864	-7.155440	-6.386375	-6.21604	-6.018754	-1.698492	-3.710392	-4.205498	-5.315934	0.921403
1138	Lee	R	NY	3.009065	-0.334885	3.763919	2.44166	3.74734	0.527556	1.309475	2.948245	1.051745	1.647025
1139	Luetkemeyer	R	MO	4.259952	2.700509	4.237793	3.825861	2.22827	1.559527	-0.402305	4.797275	1.446232	2.144914
1140	Luján	D	NM	-4.669613	-1.538280	-4.24022	-2.963069	1.251062	-1.973639	0.644814	-4.320207	-1.259356	-0.500240
1141	Lummis	R	WY	3.684357	-2.413449	3.79991	0.221066	-3.02458	8.450904	3.107955	5.306107	1.999649	-0.958780
1142	Maffei	D	NY	-3.708939	0.566315	-1.756591	-0.69085	-0.01027	-1.168828	-0.244897	-2.589718	-1.104042	0.387574
1143	Markey	D	CO	-1.827626	2.456977	-0.855252	0.058994	0.433029	-2.786693	1.366333	-2.106146	-1.28186	1.232410
1144	Markey	D	MA	-4.770463	-2.657565	-4.082645	-4.329035	-1.044622	-3.410183	-0.107669	-4.313536	-0.689239	-0.268132
1145	Massa	D	NY	-3.243086	0.738561	-1.278294	-2.327292	-0.679651	-0.898543	-0.91553	-1.564381	-2.087033	1.219107
1146	McCaul	R	TX	3.682268	3.521285	3.025111	1.975464	1.153216	0.39791	0.6202	3.712958	1.919111	0.281256
1147	McClintock	R	CA	3.807905	-4.109480	3.341587	0.984379	-6.814508	7.145001	2.355331	5.508010	1.01885	-5.665452
1148	McMahon	D	NY	-1.883242	-0.124412	-1.483664	-0.294347	3.450938	-2.686805	0.562463	-2.191775	-1.104257	1.110670
1149	Minnick	D	ID	-0.114136	0.989166	0.654523	1.117021	1.627539	-0.316678	2.160391	-0.017901	-0.455943	-1.642217
1150	Nadler	D	NY	-4.698302	-4.669207	-4.206588	-4.595239	-0.027521	-1.370206	-1.628178	-3.519493	-0.81485	-2.113300
1151	Nye	D	VA	-0.951678	-1.473337	-0.64514	0.323749	0.637082	-0.802887	0.035773	-0.826786	-0.595574	4.365044
1152	Olson	R	TX	6.017744	1.898734	3.459963	0.891041	-0.779651	2.22406	0.924011	3.967378	2.856436	-0.315659
1153	Pastor	D	AZ	-4.041032	-1.760877	-4.566654	-2.648096	0.74825	-1.394042	-0.799319	-3.705641	-2.258645	1.414032
1154	Paulsen	R	MN	2.553582	1.711189	3.067836	1.52032	2.730275	0.744316	2.727716	3.499017	1.359645	1.223113
1155	Perriello	D	VA	-1.866964	0.130352	-1.405869	1.458473	-0.040475	-1.185975	0.054514	-0.921901	-2.990101	-2.378135
1156	Peters	D	MI	-2.632795	-0.900045	-2.21398	-0.802054	0.506877	-1.019766	-0.040658	-2.348518	-2.671545	1.756330
1157	Peterson	D	MN	-1.426729	0.958864	-1.216716	-1.525046	3.408281	-1.072686	-5.013387	-1.500643	-0.449666	3.134345
1158	Pingree	D	ME	-5.893162	-2.672692	-7.613108	-5.700342	-2.055183	-1.323629	-2.208736	-3.265367	-2.985551	1.098514
1159	Poe	R	TX	3.521958	-2.654555	6.915944	0.840596	-3.513075	5.111987	4.840472	6.023387	1.255586	-1.198424
1160	Polis	D	CO	-4.584654	-1.320840	-3.495856	-3.697199	-2.440175	-1.580241	-0.169016	-2.854368	-0.582416	0.223343
1161	Posey	R	FL	3.274482	-1.699010	2.993672	0.589738	-1.859705	2.197741	1.434766	3.584313	1.042276	2.022801
1162	Roe	R	TN	3.882715	0.359725	3.26692	2.467754	0.244455	1.7134	1.588435	4.532522	1.034372	2.889236
1163	Rooney	R	FL	2.826398	-0.904372	4.181284	3.452913	0.425276	1.561507	3.559442	5.095615	1.005292	0.206125
1164	Rothman	D	NJ	-5.258927	0.779140	-4.192042	-2.128189	2.276225	-5.176935	-1.554334	-5.631758	-2.507555	-0.734265
1165	Schauer	D	MI	-3.268387	-0.038630	-1.653557	0.837692	-0.402764	-2.738305	-0.085815	-2.654870	-1.384743	-0.682673
1166	Schock	R	IL	2.845587	2.849089	2.62397	3.294264	2.742559	1.678973	0.690744	3.697494	0.780787	-0.771450
1167	Schrader	D	OR	-2.911990	-0.692708	-1.693169	-0.977283	-3.046142	-1.701429	1.462531	-2.190709	-0.513242	-0.292647
1168	Solis	D	CA	-0.879216	0.690248	2.123684	-0.226009	-2.060641	-0.580783	0.144718	-2.041781	0.084902	1.067378
1169	Teague	D	NM	-1.431209	3.996867	-1.663189	-0.723152	-0.064781	-2.092471	-0.4789	-1.669184	-1.304778	-0.727275
1170	Thompson	R	PA	4.338822	2.192134	2.771646	2.10139	1.535207	1.807501	-0.39828	3.459312	0.999571	0.231191
1171	Titus	D	NV	-3.280224	1.209987	-1.69919	-1.619425	0.108265	-3.324047	-0.321572	-2.377232	-1.807662	1.983270
1172	Tonko	D	NY	-4.942003	-2.011855	-4.369938	-1.953904	-2.549499	-3.190441	-0.988759	-4.846470	-1.686922	-0.665163
1173	Walz	D	MN	-1.885135	2.063056	-3.651674	-1.468285	-0.178022	-1.179539	0.767971	-3.316814	-1.36521	-2.465250
1174	Welch	D	VT	-3.319495	-1.404928	-7.107779	-4.708819	-3.177821	-1.402891	-1.560484	-3.572934	-0.890921	-2.233337
1175	Wittman	R	VA	2.490933	2.620899	2.527788	1.157128	1.281275	1.923012	-0.469622	3.404858	0.589948	-1.213134
1176	Quigley	D	IL	-3.280028	-1.953611	-2.354315	-2.359537	-2.501984	-1.34859	-1.460736	-2.514190	-1.306242	0.850375
1177	Murphy	D	NY	-1.045207	0.636451	-0.78747	0.435831	0.412732	-0.778266	1.50309	-1.277488	-0.441406	-2.466686
1178	Chu	D	CA	-4.675544	-3.580805	-4.478242	-4.013744	-3.193409	-1.962601	-1.451187	-8.770166	-1.71063	1.407751
